 Number of Inputs | Biggest Input   | Transaction Value | Transaction Fee | Transaction ID 
 1                | 244.77528809    | 244.77528809      | 0.0005          | f8dc133083750b58c865cc6692deccf2f7ab6a059715df896032f80bf69dfd0c 
 1                | 246.90102703    | 246.90102703      | 0.0005          | ddd310b6b0a2d1ba91954ff42c793028a269232b7e870319e38e10ba25466f46 
 1                | 247.25988173    | 247.25988173      | 0.0005          | d37ca632db54ee405bdf787367ce0869fff73e9891cce98569f7bdc03c288410 
 1                | 247.97078686    | 247.97078686      | 0.0005          | 70d7ab1f8300a5084aaa332d9d665b2a87b1fa7bf09e05bbe0f88a3466f1fe77 
 1                | 249.09054866    | 249.09054866      | 0.0005          | 61561d401026c9a9c9b93109fae8a55d099011635168a8d7c0b52f65e03b94b6 
 1                | 254.91818201    | 254.91818201      | 0.0005          | 8dfecbcf7808239f90b55dcbf7d201609088855b09d70ff3176ebc99a6d0c9ed 
 1                | 258.27550563    | 258.27550563      | 0.0005          | 9b840a6bb743bc68565f262cb68d6059aa844d27bb8f45ab722fb64b71490b0f 
 1                | 264.27802479    | 264.27802479      | 0.0005          | df55a7f6a6487043dffd6879ebbf72553845b78254b1e3cadad6645501144cea 
 1                | 268.65856242    | 268.65856242      | 0.0005          | 65faf95ca6fabe55855b4b52f140f3bdc3043ab90f0af5abe26d1575d543f662 
 1                | 271.02129892    | 271.02129892      | 0.0005          | 75d65c6954793e08c38168fb5981f23bf6883281792b61f971176ce301d5f580 
 1                | 271.83778635    | 271.83778635      | 0.0005          | e294ba55993620c76e1d43cde3ac7a4192e5d2d82d5957499a04e1c13929520f 
 1                | 360.52558065    | 360.52558065      | 0.0005          | 7a9cfc7c7ce6e4fdd57f3e04816325e8bb28311230baa2d49d840cedf9b01cfa 
 1                | 363.93896789    | 363.93896789      | 0.0005          | e661b8df647e960c5fa1dcf5fed37591ffb353b967380aef2aeeae65af2efc4b 
 1                | 364.82008499    | 364.82008499      | 0.0005          | ef63219ce5d7f1c2de5fcb39572339c6a910ef9dca97ddb561dfad5042bcfc75 
 1                | 366.29881513    | 366.29881513      | 0.0005          | e19cb458e335e7a31fcd18ad4e20f0f1693b5a39f835e5089722ca18782a14f4 
 1                | 368.29165104    | 368.29165104      | 0.0005          | b54acf7815b3bf5e1fe936a84a2b58c5fbbc436c4e159881ed313bf19d50dfb8 
 1                | 369.40616901    | 369.40616901      | 0.0005          | c34d38403aa4afe5b4df7aea7302717c25c391625982719acec1b3f4302445ad 
 1                | 372.54982284    | 372.54982284      | 0.0005          | e7e5c9c533784a22e55d73b39568cda5cc14e760c2f480823876e0f6296f4292 
 1                | 405.86334552    | 405.86334552      | 0.0005          | a073884d8f1321cf28762e30e414b57072542ca0710351d4fb17e4df429c8e05 
 1                | 406.91732353    | 406.91732353      | 0.0005          | 6e26540a786d11ef4f4b4349718b09b3bc156427c10d9fc68c3ed66513032f24 
 1                | 407.10582353    | 407.10582353      | 0.0005          | 6acb772a0607c774d94a895e6214e4a8699e512b9d95b7c745d8c20e905dda17 
 1                | 414.65807592    | 414.65807592      | 0.0005          | e8a158c2cda7803a5c26394f723ed2827a3fae245fa135c50661eac805b81514 
 1                | 415.4265429     | 415.4265429       | 0.0005          | ada3098eec2536945e935c48262fdc441cb1ab5a1ad6065748ee7b3af760bd20 
 1                | 418.49585829    | 418.49585829      | 0.0005          | 24cb73bbe778297191f29ccce6c957b607f48bee089cbc688db13ebe01e6ced3 
 1                | 419.89393964    | 419.89393964      | 0.0005          | 51e0053e8a2856ea8e3a0bd24eadef0a2d9667472a0b00dcdd0b041af6ef35be 
 1                | 421.79629233    | 421.79629233      | 0.0005          | 279301b431dc26bcc37c8ab1a2f36173866ca3a46795eedd4dbfeb6df58ff1f5 
 1                | 426.09997059    | 426.09997059      | 0.0005          | 48cebc634dc8ed38b47043c538cd4e738ab53fb08356eb5743853703316a46b1 
 1                | 427.11203345    | 427.11203345      | 0.0005          | 117c525e7c8a65bfdfec15e9f81de5b5e75b08aa73334d4abbd30ad081344841 
 1                | 429.21053345    | 429.21053345      | 0.0005          | 6ac9aa8ae2b618b2917e97ed15fb9109f941886d06f32a3ad7dafaebff26848b 
 1                | 432.7002221     | 432.7002221       | 0.0005          | 1aa0f5e70e9dd97de0943ceb5db6be522bd42f8a4cbac6c73a94aedf73b790ed 
 1                | 435.55261086    | 435.55261086      | 0.0005          | ca06da23fd72d9685aa4dec1e89f73c4a13b08006cb6ac1dbd453bbb3e420870 
 1                | 462.6242186     | 462.6242186       | 0.0005          | 8246b2b40cde22a5730727464f001760aa2614f5d5f1b80ffa00dd6011e44487 
 1                | 570.59735803    | 570.59735803      | 0.0005          | 2656deb46e71ba0e57067b1167644f50e56e6c638b91e617200460f69537e8e1 
 1                | 571.69604169    | 571.69604169      | 0.0005          | b33009732d679c3c7751a7ef00a5843d81ba492f62a4f5b0798896ca6874284e 
 1                | 576.24354858    | 576.24354858      | 0.0005          | 297e6c07f96ddddda5b842717f85e244a791520a5640a19325d83c3a93259c79 
 1                | 578.87687985    | 578.87687985      | 0.0005          | 3837afd94a577d372491fd9b52925e357b7301fc8f04f0a9900a6ec8772c492a 
 1                | 580.48778633    | 580.48778633      | 0.0005          | 2ff9d389e766f61069716f7ed4c9ce0517591bf180893f5cbaa11210e0e8b2ac 
 1                | 605.29868277    | 605.29868277      | 0.0005          | bdfc681ef674ff783cb91c0abfad03b3c59dafed047a89b8bad7375829a7d550 
 1                | 605.33456949    | 605.33456949      | 0.0005          | 738c20d18063343f4b8bd74111b3f52ef0521c601d6dd062b867319f19cf2f13 
 1                | 605.4356771     | 605.4356771       | 0.0005          | 0fcf2efeefb1de7d1cb830ac03a76d59de4608f6015bf55bdd7962cd33b393e2 
 1                | 606.2361771     | 606.2361771       | 0.0005          | 6217c9d5b4fd3a990f765a77b5144667b18675e34d6acc6992063e577813ecb6 
 1                | 606.77751514    | 606.77751514      | 0.0005          | 995405ec3c7d2facbf59b3b3ca42294b9f2450bc1bf105c99745836ac8557d00 
 1                | 606.84001514    | 606.84001514      | 0.0005          | b99ccba09b401c2725bf987017a8d5707a5cc59a728f0eae85c14a16b71fd22b 
 1                | 632.83951514    | 632.83951514      | 0.0005          | 4b461514022fbb49f5824891e4181f4eca4b237ba1aebae42a890026d7d51da6 
 1                | 659.66760711    | 659.66760711      | 0.0005          | f2bcdb37b4be8ce52d62b272f593a5885bc3c6c13316b8bcba1a65abe2200495 
 1                | 660.66510711    | 660.66510711      | 0.0005          | 0f9755cebbf125084e2b9e2c32bcc73a7d175cf6b8004a0522e0bab23cb1a76f 
 1                | 665.57089445    | 665.57089445      | 0.0005          | 3560b2c85e466f471d7fb096fc165473ad22678ccc884ad9563122f9001ce986 
 1                | 666.69686445    | 666.69686445      | 0.0005          | be2a02a9c1be76c8fd16d9740a2b01c63cc214b03c904c78d0ac410cf8d8d7e8 
 1                | 668.73062311    | 668.73062311      | 0.0005          | 8e862fa147022e41ab111bdcf320f646104d2c6db4b52b69f3907caa03bd110f 
 1                | 672.98596523    | 672.98596523      | 0.0005          | 33bef15f84012e61714299a6f5da6854581a4082c220bf45bce0dfee04d39c0a 
 1                | 720.41099009    | 720.41099009      | 0.0005          | 46400dd8476278970e23bb96e2fa9b23089bba25eeda23ea588c4fd968d84548 
 1                | 723.97138336    | 723.97138336      | 0.0005          | f805fb34b9e6ff2c3ade62af6cf25368fdb74a615e0aa3e5d9fe52bcdee94259 
 1                | 725.48183877    | 725.48183877      | 0.0005          | 2fd73ae8a687ad1656332c3c3d9b04cdf1211c879ed2b9233b69eb43a7fb38c6 
 1                | 726.7305953     | 726.7305953       | 0.0005          | 6db16ddcc5e74bf6bb88e7c703869dc8e71e53c770fa4123f3ccc575b14d894c 
 1                | 733.54027101    | 733.54027101      | 0.0005          | cd26e0f879ef999332a22bdb5126a5036bb600da40931796dab830c424008206 
 1                | 752.24375293    | 752.24375293      | 0.0005          | 8aeff6930f4a0fd140035758a6780fe6d88bd9c88702a469a609552bbec15d87 
 1                | 753.12325293    | 753.12325293      | 0.0005          | 0fe98ac0e923830754cf5c74ac6cbf4f7165459dd9e64d15483ae975d83446b9 
 1                | 801.35403294    | 801.35403294      | 0.0005          | e8051fa62617e4d0bebcea7b4375ca799be3645f94e28f708d45bf8f0be465e1 
 1                | 801.52739146    | 801.52739146      | 0.0005          | 0d485f7b8beef72ef20ea2d2b9276de30fb3b5b5cd7d1e08b9cb2dc20a549609 
 1                | 801.84089146    | 801.84089146      | 0.0005          | 932bcc2d91c99506e2b1827f74d0e5487eb29dd91129815bab8c20344fc9a2f8 
 1                | 851.83697364    | 851.83697364      | 0.0005          | edc10177ecaf8ff40753355dc19f388c8aef2bb279164ea8b261b579d4b04b49 
 1                | 853.18647364    | 853.18647364      | 0.0005          | 90c3793e43462cc7c0a1322c62a31740744678990ddc76c423a40d764cf32816 
 1                | 860.40500441    | 860.40500441      | 0.0005          | 24bce93f377156dd1c0a70dfc8943e6e159fb53c9ffb7b410dade6a64d436be3 
 1                | 860.66236286    | 860.66236286      | 0.0005          | c8c092cb7da1cf4b91d77913eb399877be67d0f224fcd6011cfa3bf71102af8b 
 1                | 862.86521626    | 862.86521626      | 0.0005          | 8949cc49acbdfecb7288f0399303586730278c80844556fd5e6c9b7a27fada62 
 1                | 863.05991328    | 863.05991328      | 0.0005          | a1d06fceae6192deb6812aa7b36b29481e47f4ffad42c03d2d5026de09c77309 
 1                | 874.51554293    | 874.51554293      | 0.0005          | e41e76b812d79cd560a9d089042637f0114615a9a21fbbef8c9614d91e17925f 
 1                | 876.32539467    | 876.32539467      | 0.0005          | c4ca2b99f61f25f23763b033169ee8da52f004ce15e434ef86a2ca46f4179ca3 
 1                | 876.81870467    | 876.81870467      | 0.0005          | 7c49104a8626f0061ca1da54be701490f3078731701e484c9d6f8b1dbd1b2775 
 1                | 877.97156643    | 877.97156643      | 0.0005          | 96400521527bed1e2f4a665c0907d3088e270b91edc1a939a5930fc37923ffc0 
